home_team,away_team,match_date,stage,city,venue,status
Mexico,South Africa,2026-06-11T21:00:00.000Z,Group Stage,Mexico City,Estadio Azteca,scheduled
South Korea,Winner UEFA Playoff D,2026-06-12T04:00:00.000Z,Group Stage,Guadalajara,Estadio Akron,scheduled
Canada,Winner UEFA Playoff A,2026-06-12T19:00:00.000Z,Group Stage,Toronto,BMO Field,scheduled
USA,Paraguay,2026-06-13T04:00:00.000Z,Group Stage,Los Angeles,SoFi Stadium,scheduled
Qatar,Switzerland,2026-06-13T22:00:00.000Z,Group Stage,San Francisco Bay Area,Levi's Stadium,scheduled
Brazil,Morocco,2026-06-13T22:00:00.000Z,Group Stage,New York/New Jersey,MetLife Stadium,scheduled
Haiti,Scotland,2026-06-14T01:00:00.000Z,Group Stage,Boston,Gillette Stadium,scheduled
Australia,Winner UEFA Playoff C,2026-06-14T07:00:00.000Z,Group Stage,Vancouver,BC Place,scheduled
Germany,Curaçao,2026-06-14T18:00:00.000Z,Group Stage,Houston,NRG Stadium,scheduled
Netherlands,Japan,2026-06-14T21:00:00.000Z,Group Stage,Dallas,AT&T Stadium,scheduled
Côte d'Ivoire,Ecuador,2026-06-14T23:00:00.000Z,Group Stage,Philadelphia,Lincoln Financial Field,scheduled
Winner UEFA Playoff B,Tunisia,2026-06-15T04:00:00.000Z,Group Stage,Monterrey,Estadio BBVA,scheduled
Spain,Cabo Verde,2026-06-15T16:00:00.000Z,Group Stage,Atlanta,Mercedes-Benz Stadium,scheduled
Belgium,Egypt,2026-06-15T22:00:00.000Z,Group Stage,Seattle,Lumen Field,scheduled
Saudi Arabia,Uruguay,2026-06-15T22:00:00.000Z,Group Stage,Miami,Hard Rock Stadium,scheduled
IR Iran,New Zealand,2026-06-16T04:00:00.000Z,Group Stage,Los Angeles,SoFi Stadium,scheduled
France,Senegal,2026-06-16T19:00:00.000Z,Group Stage,New York/New Jersey,MetLife Stadium,scheduled
Winner FIFA Playoff 2,Norway,2026-06-16T22:00:00.000Z,Group Stage,Boston,Gillette Stadium,scheduled
Argentina,Algeria,2026-06-17T02:00:00.000Z,Group Stage,Kansas City,Arrowhead Stadium,scheduled
Austria,Jordan,2026-06-17T07:00:00.000Z,Group Stage,San Francisco Bay Area,Levi's Stadium,scheduled
Portugal,Winner FIFA Playoff 1,2026-06-17T18:00:00.000Z,Group Stage,Houston,NRG Stadium,scheduled
England,Croatia,2026-06-17T21:00:00.000Z,Group Stage,Dallas,AT&T Stadium,scheduled
Ghana,Panama,2026-06-17T23:00:00.000Z,Group Stage,Toronto,BMO Field,scheduled
Uzbekistan,Colombia,2026-06-18T04:00:00.000Z,Group Stage,Mexico City,Estadio Azteca,scheduled
Winner UEFA Playoff D,South Africa,2026-06-18T16:00:00.000Z,Group Stage,Atlanta,Mercedes-Benz Stadium,scheduled
Switzerland,Winner UEFA Playoff A,2026-06-18T22:00:00.000Z,Group Stage,Los Angeles,SoFi Stadium,scheduled
Canada,Qatar,2026-06-19T01:00:00.000Z,Group Stage,Vancouver,BC Place,scheduled
Mexico,South Korea,2026-06-19T03:00:00.000Z,Group Stage,Guadalajara,Estadio Akron,scheduled
USA,Australia,2026-06-19T22:00:00.000Z,Group Stage,Seattle,Lumen Field,scheduled
Scotland,Morocco,2026-06-19T22:00:00.000Z,Group Stage,Boston,Gillette Stadium,scheduled
Brazil,Haiti,2026-06-20T01:00:00.000Z,Group Stage,Philadelphia,Lincoln Financial Field,scheduled
Winner UEFA Playoff C,Paraguay,2026-06-20T07:00:00.000Z,Group Stage,San Francisco Bay Area,Levi's Stadium,scheduled
Netherlands,Winner UEFA Playoff B,2026-06-20T18:00:00.000Z,Group Stage,Houston,NRG Stadium,scheduled
Germany,Côte d'Ivoire,2026-06-20T20:00:00.000Z,Group Stage,Toronto,BMO Field,scheduled
Ecuador,Curaçao,2026-06-21T01:00:00.000Z,Group Stage,Kansas City,Arrowhead Stadium,scheduled
Tunisia,Japan,2026-06-21T06:00:00.000Z,Group Stage,Monterrey,Estadio BBVA,scheduled
Spain,Saudi Arabia,2026-06-21T16:00:00.000Z,Group Stage,Atlanta,Mercedes-Benz Stadium,scheduled
Belgium,IR Iran,2026-06-21T22:00:00.000Z,Group Stage,Los Angeles,SoFi Stadium,scheduled
Uruguay,Cabo Verde,2026-06-21T22:00:00.000Z,Group Stage,Miami,Hard Rock Stadium,scheduled
New Zealand,Egypt,2026-06-22T04:00:00.000Z,Group Stage,Vancouver,BC Place,scheduled
Argentina,Austria,2026-06-22T18:00:00.000Z,Group Stage,Dallas,AT&T Stadium,scheduled
France,Winner FIFA Playoff 2,2026-06-22T21:00:00.000Z,Group Stage,Philadelphia,Lincoln Financial Field,scheduled
Norway,Senegal,2026-06-23T00:00:00.000Z,Group Stage,New York/New Jersey,MetLife Stadium,scheduled
Jordan,Algeria,2026-06-23T06:00:00.000Z,Group Stage,San Francisco Bay Area,Levi's Stadium,scheduled
Portugal,Uzbekistan,2026-06-23T18:00:00.000Z,Group Stage,Houston,NRG Stadium,scheduled
England,Ghana,2026-06-23T20:00:00.000Z,Group Stage,Boston,Gillette Stadium,scheduled
Panama,Croatia,2026-06-23T23:00:00.000Z,Group Stage,Toronto,BMO Field,scheduled
Colombia,Winner FIFA Playoff 1,2026-06-24T04:00:00.000Z,Group Stage,Guadalajara,Estadio Akron,scheduled
Switzerland,Canada,2026-06-24T22:00:00.000Z,Group Stage,Vancouver,BC Place,scheduled
Winner UEFA Playoff A,Qatar,2026-06-24T22:00:00.000Z,Group Stage,Seattle,Lumen Field,scheduled
Scotland,Brazil,2026-06-24T22:00:00.000Z,Group Stage,Miami,Hard Rock Stadium,scheduled
Morocco,Haiti,2026-06-24T22:00:00.000Z,Group Stage,Atlanta,Mercedes-Benz Stadium,scheduled
Winner UEFA Playoff D,Mexico,2026-06-25T03:00:00.000Z,Group Stage,Mexico City,Estadio Azteca,scheduled
South Africa,South Korea,2026-06-25T03:00:00.000Z,Group Stage,Monterrey,Estadio BBVA,scheduled
Curaçao,Côte d'Ivoire,2026-06-25T20:00:00.000Z,Group Stage,Philadelphia,Lincoln Financial Field,scheduled
Ecuador,Germany,2026-06-25T20:00:00.000Z,Group Stage,New York/New Jersey,MetLife Stadium,scheduled
